"","ADH1C","TNC","MYH11","KPNA2","C1QC","GNAO1","CBR1","PCNA","SHMT2","MRTO4","IDH1"
"PDAC_56T",0.483068553327369,-0.043362481636179,1.84357540356716,-0.2714614007383,0.760342097845656,-0.604712137901425,0.81770377843781,1.02537259711667,0.654168185888312,0.0862201025616967,-0.0159944034174513
"PDAC_57T",-0.750021537461249,-0.0601203608739639,-0.261655044437179,2.31157764645291,1.13881895461362,-0.806338185842047,0.489030605671711,2.04160534202824,1.50416899395669,0.296519772995352,1.31475339359487
"PDAC_58T",-0.399594945080171,-0.565184489532761,-0.284918358753725,-0.372138315317597,0.193514474626905,1.16597815491045,-0.425016063298465,-0.805586085662203,-0.620072802520525,-0.282349790712292,0.149606855763277
"PDAC_59T",0.0951523022822009,-0.661974522870999,-0.378966592450622,-0.312408354802268,-0.455810229508581,0.235202523984556,-0.411785551350968,-0.446864066785376,1.4294195572806,-0.282349790712292,1.9567252568935
"PDAC_60T",-0.917475346160848,-0.649060814201882,-0.385171801229085,-0.310530054157131,-0.692760486802042,-0.249249292806108,-1.20275438922158,-0.45316863619389,-0.741567156550349,-0.640849468323057,0.358537833919667
"PDAC_61T",-0.616453730313842,-0.505860631159,-0.232509888682152,0.0283153822254272,0.0658021139878164,-0.614534945365199,-0.472361989744056,-0.381663646446696,0.19265936493451,0.190614671603783,-0.071327721833299
"PDAC_62T",-0.373294060513503,-0.113726256994832,-0.287493816976301,1.34049621291753,-0.321107531145546,-0.905406369012872,-0.485013311898143,0.415186043983808,-0.469265637230304,0.395040049567225,-0.881876825668531
"PDAC_63T",-0.447546834069122,0.811656390851681,1.94268079631477,-0.283106864738144,-0.399499175621234,-0.542091740319867,0.167421277052688,-0.75243617140815,-0.284619677758901,-0.676934407782942,1.69734498713975
"PDAC_64T",0.153798915603234,-0.632302934964097,-0.379772140676256,-0.46793164821954,-0.292979743637285,-0.503446747797914,-0.432057194120309,0.47392228556186,0.252133609252951,-0.283692486134055,1.09465892556765
"PDAC_65T",-0.321491489529984,0.596711235487032,-0.365779327911254,-0.324053818802112,0.521061727977546,-0.610851392566284,-1.05303382762516,-0.741423126112266,0.958611255794244,0.563883998853943,-0.758437675553507
